### START OF SIDE LOADING POSSIBLE HIJACK LIST - FORMAT (dllname, binary file)
(devobj.dll,C:\Windows\System32\fsquirt.exe)
(devobj.dll,C:\Windows\System32\immersivetpmvscmgrsvr.exe)
(devobj.dll,C:\Windows\System32\iscsicli.exe)
(devobj.dll,C:\Windows\System32\label.exe)
(devobj.dll,C:\Windows\System32\mdmappinstaller.exe)
(devobj.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(devobj.dll,C:\Windows\System32\omadmclient.exe)
(devobj.dll,C:\Windows\System32\osk.exe)
(devobj.dll,C:\Windows\System32\pnputil.exe)
(devobj.dll,C:\Windows\System32\rdpclip.exe)
(devobj.dll,C:\Windows\System32\recover.exe)
(devobj.dll,C:\Windows\System32\rmttpmvscmgrsvr.exe)
(devobj.dll,C:\Windows\System32\tabcal.exe)
(devobj.dll,C:\Windows\System32\vsgraphicsdesktopengine.exe)
(devobj.dll,C:\Windows\System32\vssvc.exe)
(devobj.dll,C:\Windows\System32\workfolders.exe)
(devrtl.dll,C:\Windows\System32\drvinst.exe)
(devrtl.dll,C:\Windows\System32\pnpunattend.exe)
(devrtl.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(devrtl.dll,C:\Windows\System32\wowreg32.exe)
(dhcpcmonitor.dll,C:\Windows\System32\netsh.exe)
(dhcpcsvc.dll,C:\Windows\System32\ipconfig.exe)
(dhcpcsvc.dll,C:\Windows\System32\netiougc.exe)
(dhcpcsvc.dll,C:\Windows\System32\netsh.exe)
(dhcpcsvc6.dll,C:\Windows\System32\ipconfig.exe)
(dhcpcsvc6.dll,C:\Windows\System32\netsh.exe)
(dismapi.dll,C:\Windows\System32\bootim.exe)
(dismapi.dll,C:\Windows\System32\deploymentcsphelper.exe)
(dismapi.dll,C:\Windows\System32\directxdatabaseupdater.exe)
(dismapi.dll,C:\Windows\System32\hvsievaluator.exe)
(dismapi.dll,C:\Windows\System32\resetengine.exe)
(dismapi.dll,C:\Windows\System32\systemreset.exe)
(dismapi.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(dmcfgutils.dll,C:\Windows\System32\omadmclient.exe)
(dmcmnutils.dll,C:\Windows\System32\deviceenroller.exe)
(dmcmnutils.dll,C:\Windows\System32\dmcertinst.exe)
(dmcmnutils.dll,C:\Windows\System32\dmcfghost.exe)
(dmcmnutils.dll,C:\Windows\System32\dmnotificationbroker.exe)
(dmcmnutils.dll,C:\Windows\System32\dmomacpmo.exe)
(dmcmnutils.dll,C:\Windows\System32\edpcleanup.exe)
(dmcmnutils.dll,C:\Windows\System32\hvsievaluator.exe)
(dmcmnutils.dll,C:\Windows\System32\mdmappinstaller.exe)
(dmcmnutils.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(dmcmnutils.dll,C:\Windows\System32\mousocoreworker.exe)
(dmcmnutils.dll,C:\Windows\System32\musnotificationux.exe)
(dmcmnutils.dll,C:\Windows\System32\musnotifyicon.exe)
(dmcmnutils.dll,C:\Windows\System32\omadmclient.exe)
(dmcmnutils.dll,C:\Windows\System32\upgraderesultsui.exe)
(dmcmnutils.dll,C:\Windows\System32\usocoreworker.exe)
(dmcommandlineutils.dll,C:\Windows\System32\provtool.exe)
(dmenrollengine.dll,C:\Windows\System32\deviceenroller.exe)
(dmenrollengine.dll,C:\Windows\System32\dmomacpmo.exe)
(dmenrollengine.dll,C:\Windows\System32\mdmagent.exe)
(dmenrollengine.dll,C:\Windows\System32\mdmappinstaller.exe)
(dmenrollengine.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(dmenrollengine.dll,C:\Windows\System32\omadmclient.exe)
(dmenrollengine.dll,C:\Windows\System32\workfolders.exe)
(dmenterprisediagnostics.dll,C:\Windows\System32\deviceenroller.exe)
(dmenterprisediagnostics.dll,C:\Windows\System32\omadmclient.exe)
(dmiso8601utils.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(dmiso8601utils.dll,C:\Windows\System32\mousocoreworker.exe)
(dmiso8601utils.dll,C:\Windows\System32\omadmclient.exe)
(dmiso8601utils.dll,C:\Windows\System32\usocoreworker.exe)
(dmoleaututils.dll,C:\Windows\System32\omadmclient.exe)
(dmoleaututils.dll,C:\Windows\System32\usocoreworker.exe)
(dmprocessxmlfiltered.dll,C:\Windows\System32\dmomacpmo.exe)
(dmpushproxy.dll,C:\Windows\System32\dmcfghost.exe)
(dmxmlhelputils.dll,C:\Windows\System32\dmcfghost.exe)
(dmxmlhelputils.dll,C:\Windows\System32\omadmclient.exe)
(dnsapi.dll,C:\Windows\System32\checknetisolation.exe)
(dnsapi.dll,C:\Windows\System32\edpcleanup.exe)
(dnsapi.dll,C:\Windows\System32\ipconfig.exe)
(dnsapi.dll,C:\Windows\System32\lpremove.exe)
(dnsapi.dll,C:\Windows\System32\msdtc.exe)
(dnsapi.dll,C:\Windows\System32\netsh.exe)
(dnsapi.dll,C:\Windows\System32\nslookup.exe)
(dnsapi.dll,C:\Windows\System32\securityhealthservice.exe)
(dnsapi.dll,C:\Windows\System32\setupugc.exe)
(dnsapi.dll,C:\Windows\System32\sihclient.exe)
(dnsapi.dll,C:\Windows\System32\spoolsv.exe)
(dnsapi.dll,C:\Windows\System32\sppextcomobj.exe)
(dnsapi.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(dnsapi.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(dnsapi.dll,C:\Windows\System32\tieringengineservice.exe)
(dnsapi.dll,C:\Windows\System32\wbengine.exe)
(dnsapi.dll,C:\Windows\System32\wkspbroker.exe)
(dot3api.dll,C:\Windows\System32\netsh.exe)
(dot3cfg.dll,C:\Windows\System32\netsh.exe)
(dpx.dll,C:\Windows\System32\lpksetup.exe)
(dpx.dll,C:\Windows\System32\wusa.exe)
(drvstore.dll,C:\Windows\System32\infdefaultinstall.exe)
